Frequency Band,dB Value
1.02,-78.4765625
1.09,-87.890625
1.17,-85.0234375
1.25,-83.8203125
1.34,-82.734375
1.44,-78.90625
1.54,-86.3203125
1.65,-80.1171875
1.77,-71.2890625
1.89,-80.1953125
2.03,-72.5625
2.18,-71.609375
2.33,-76.703125
2.5,-71.6796875
2.68,-65.8046875
2.87,-81.21875
3.08,-83.609375
3.3,-81.125
3.54,-78.4140625
3.79,-80.46875
4.06,-84.1171875
4.35,-81.9765625
4.67,-80.9609375
5.0,-77.3671875
5.36,-79.421875
5.74,-87.65625
6.16,-85.9375
6.6,-83.078125
7.07,-85.9921875
7.58,-86.5078125
8.12,-82.046875
8.71,-82.328125
9.33,-82.359375
10.0,-84.859375
10.72,-88.359375
11.49,-95.921875
12.31,-98.1640625
13.2,-98.7890625
14.14,-102.9609375
15.16,-100.203125
16.25,-103.4609375
17.41,-107.1171875
18.66,-106.0703125
20,-128.0
21,-128.0
22,-128.0
24,-128.0
26,-128.0
28,-128.0
30,-128.0
32,-128.0
34,-128.0
36,-128.0
39,-128.0
42,-128.0
45,-128.0
48,-128.0
52,-128.0
55,-127.1953125
59,-121.796875
63,-112.6015625
68,-120.609375
73,-121.6953125
78,-128.0
84,-128.0
90,-123.4453125
96,-118.0078125
103,-120.8125
110,-109.859375
118,-94.953125
127,-82.734375
136,-71.375
146,-72.140625
156,-80.1484375
167,-83.921875
179,-91.3984375
192,-89.3359375
206,-92.0
221,-89.9296875
237,-79.6640625
254,-76.6171875
272,-79.75
292,-80.4453125
313,-79.6484375
335,-82.59375
359,-79.203125
385,-75.1953125
412,-67.03125
442,-74.078125
474,-79.78125
508,-78.0078125
544,-78.0078125
583,-78.21875
625,-71.15625
670,-72.6171875
718,-79.796875
769,-72.921875
825,-77.6953125
884,-74.0078125
947,-72.9453125
1.02,-73.8984375
1.09,-73.21875
1.17,-72.40625
1.25,-76.890625
1.34,-75.921875
1.44,-77.328125
1.54,-80.6171875
1.65,-82.75
1.77,-81.4765625
1.89,-87.71875
2.03,-86.921875
2.18,-82.9765625
2.33,-78.2421875
2.5,-83.484375
2.68,-86.2734375
2.87,-88.328125
3.08,-89.4375
3.3,-85.9296875
3.54,-84.96875
3.79,-87.671875
4.06,-79.8984375
4.35,-82.3671875
4.67,-87.984375
5.0,-84.0859375
5.36,-81.8828125
5.74,-80.828125
6.16,-79.4296875
6.6,-78.953125
7.07,-73.4453125
7.58,-81.1015625
8.12,-82.6796875
8.71,-80.7890625
9.33,-84.578125
10.0,-83.4296875
10.72,-85.71875
11.49,-86.5390625
12.31,-90.5859375
13.2,-89.359375
14.14,-94.3984375
15.16,-95.890625
16.25,-102.015625
17.41,-105.8359375
18.66,-107.921875
