Frequency Band,dB Value
Band 20,-104.0
Band 21,-104.0
Band 22,-104.0
Band 24,-104.0
Band 26,-104.0
Band 28,-104.0
Band 30,-104.0
Band 32,-104.0
Band 34,-104.0
Band 36,-104.0
Band 39,-104.0
Band 42,-104.0
Band 45,-103.6484375
Band 48,-101.8359375
Band 52,-99.8359375
Band 55,-98.8046875
Band 59,-97.5859375
Band 63,-95.90625
Band 68,-94.1875
Band 73,-90.296875
Band 78,-88.828125
Band 84,-87.1328125
Band 90,-92.265625
Band 96,-86.015625
Band 103,-83.828125
Band 110,-82.6015625
Band 118,-79.3828125
Band 127,-78.7265625
Band 136,-74.734375
Band 146,-72.4296875
Band 156,-54.875
Band 167,-63.9375
Band 179,-68.125
Band 192,-58.28125
Band 206,-30.4609375
Band 221,-34.171875
Band 237,-50.25
Band 254,-54.0390625
Band 272,-29.5546875
Band 292,-35.515625
Band 313,-43.3671875
Band 335,-46.1328125
Band 359,-59.1796875
Band 385,-64.625
Band 412,-46.921875
Band 442,-46.984375
Band 474,-65.65625
Band 508,-70.0859375
Band 544,-42.5859375
Band 583,-41.1640625
Band 625,-35.9453125
Band 670,-38.8125
Band 718,-60.8828125
Band 769,-72.640625
Band 825,-54.296875
Band 884,-59.953125
Band 947,-44.4140625
Band 1020,-50.3828125
Band 1090,-52.8046875
Band 1170,-55.5703125
Band 1250,-54.03125
Band 1340,-54.484375
Band 1440,-64.875
Band 1540,-55.75
Band 1650,-47.796875
Band 1770,-57.1171875
Band 1890,-46.53125
Band 2030,-53.5390625
Band 2180,-60.5546875
Band 2330,-53.8203125
Band 2500,-59.5859375
Band 2680,-58.59375
Band 2870,-51.65625
Band 3080,-52.3203125
Band 3300,-56.375
Band 3540,-58.203125
Band 3790,-47.6640625
Band 4060,-46.2578125
Band 4350,-48.359375
Band 4670,-49.953125
Band 5000,-51.75
Band 5360,-52.5234375
Band 5740,-52.7265625
Band 6160,-54.0859375
Band 6600,-53.5234375
Band 7070,-55.265625
Band 7580,-51.953125
Band 8120,-51.1328125
Band 8710,-49.4296875
Band 9330,-47.0546875
Band 10000,-46.0
Band 10720,-48.3046875
Band 11490,-53.7578125
Band 12310,-59.609375
Band 13200,-64.6171875
Band 14140,-60.3359375
Band 15160,-71.234375
Band 16250,-78.4296875
Band 17410,-80.7265625
Band 18660,-82.5625
Band 20,-104.0
Band 21,-104.0
Band 22,-104.0
Band 24,-104.0
Band 26,-103.5859375
Band 28,-102.4140625
Band 30,-101.1484375
Band 32,-99.78125
Band 34,-98.515625
Band 36,-97.3828125
Band 39,-95.8984375
Band 42,-94.5859375
Band 45,-93.1015625
Band 48,-91.4296875
Band 52,-90.4140625
Band 55,-88.578125
Band 59,-86.890625
Band 63,-85.6953125
Band 68,-84.1328125
Band 73,-81.875
Band 78,-91.2109375
Band 84,-82.6328125
Band 90,-79.0
Band 96,-83.375
Band 103,-81.375
Band 110,-73.390625
Band 118,-75.1484375
Band 127,-81.078125
Band 136,-80.9765625
Band 146,-69.5
Band 156,-63.015625
Band 167,-65.90625
Band 179,-57.3671875
Band 192,-55.984375
Band 206,-57.453125
Band 221,-54.828125
Band 237,-52.9453125
Band 254,-38.515625
Band 272,-23.3984375
Band 292,-14.7890625
Band 313,-33.78125
Band 335,-44.1328125
Band 359,-49.4140625
Band 385,-53.4140625
Band 412,-54.46875
Band 442,-60.2734375
Band 474,-56.796875
Band 508,-59.3515625
Band 544,-37.0234375
Band 583,-24.03125
Band 625,-47.2890625
Band 670,-59.7421875
Band 718,-65.6328125
Band 769,-54.828125
Band 825,-37.2109375
Band 884,-28.1015625
Band 947,-59.734375
Band 1020,-59.890625
Band 1090,-43.09375
Band 1170,-33.015625
Band 1250,-52.2578125
Band 1340,-51.90625
Band 1440,-38.9921875
Band 1540,-53.9375
Band 1650,-48.046875
Band 1770,-48.9140625
Band 1890,-59.2734375
Band 2030,-56.40625
Band 2180,-57.40625
Band 2330,-51.6484375
Band 2500,-48.8046875
Band 2680,-48.390625
Band 2870,-48.9609375
Band 3080,-60.6015625
Band 3300,-50.859375
Band 3540,-51.5
Band 3790,-45.015625
Band 4060,-48.96875
Band 4350,-46.3046875
Band 4670,-57.28125
Band 5000,-58.7890625
Band 5360,-61.9140625
Band 5740,-66.9375
Band 6160,-68.203125
Band 6600,-64.046875
Band 7070,-60.6171875
Band 7580,-56.7578125
Band 8120,-54.234375
Band 8710,-61.0078125
Band 9330,-52.15625
Band 10000,-45.546875
Band 10720,-50.8828125
Band 11490,-56.4921875
Band 12310,-58.1484375
Band 13200,-60.5078125
Band 14140,-48.859375
Band 15160,-62.2265625
Band 16250,-69.7578125
Band 17410,-71.6484375
Band 18660,-72.4140625
Band 20,-104.0
Band 21,-104.0
Band 22,-104.0
Band 24,-104.0
Band 26,-104.0
Band 28,-103.7890625
Band 30,-102.65625
Band 32,-101.40625
Band 34,-99.90625
Band 36,-98.75
Band 39,-97.5703125
Band 42,-95.8984375
Band 45,-94.84375
Band 48,-93.0703125
Band 52,-91.5703125
Band 55,-90.6953125
Band 59,-89.328125
Band 63,-87.8046875
Band 68,-85.1796875
Band 73,-80.7734375
Band 78,-85.2109375
Band 84,-83.875
Band 90,-80.015625
Band 96,-80.9140625
Band 103,-71.640625
Band 110,-71.21875
Band 118,-69.3046875
Band 127,-68.6328125
Band 136,-66.4453125
Band 146,-66.3671875
Band 156,-55.859375
Band 167,-54.765625
Band 179,-43.6171875
Band 192,-31.921875
Band 206,-19.5625
Band 221,-32.53125
Band 237,-39.46875
Band 254,-25.8671875
Band 272,-19.6015625
Band 292,-19.3515625
Band 313,-40.2109375
Band 335,-41.4375
Band 359,-61.203125
Band 385,-50.5703125
Band 412,-42.5078125
Band 442,-50.046875
Band 474,-56.1015625
Band 508,-38.421875
Band 544,-34.7578125
Band 583,-36.0546875
Band 625,-40.875
Band 670,-40.7890625
Band 718,-64.265625
Band 769,-50.53125
Band 825,-47.375
Band 884,-52.8359375
Band 947,-47.6875
Band 1020,-57.4453125
Band 1090,-46.109375
Band 1170,-41.0703125
Band 1250,-59.578125
Band 1340,-58.7578125
Band 1440,-61.2265625
Band 1540,-53.0703125
Band 1650,-55.4375
Band 1770,-51.109375
Band 1890,-51.015625
Band 2030,-55.234375
Band 2180,-56.890625
Band 2330,-51.1015625
Band 2500,-47.53125
Band 2680,-52.3359375
Band 2870,-51.109375
Band 3080,-47.5
Band 3300,-54.96875
Band 3540,-55.484375
Band 3790,-51.796875
Band 4060,-45.8359375
Band 4350,-45.1171875
Band 4670,-45.7734375
Band 5000,-44.2109375
Band 5360,-47.4140625
Band 5740,-48.640625
Band 6160,-48.921875
