Frequency Band,dB Value
Band 20,-128.0
Band 21,-128.0
Band 22,-128.0
Band 24,-128.0
Band 26,-128.0
Band 28,-128.0
Band 30,-128.0
Band 32,-128.0
Band 34,-128.0
Band 36,-128.0
Band 39,-128.0
Band 42,-128.0
Band 45,-127.21875
Band 48,-127.546875
Band 52,-126.1328125
Band 55,-125.4453125
Band 59,-123.2265625
Band 63,-122.0546875
Band 68,-120.3046875
Band 73,-118.890625
Band 78,-123.4921875
Band 84,-118.84375
Band 90,-114.0234375
Band 96,-109.8671875
Band 103,-106.140625
Band 110,-103.2109375
Band 118,-101.984375
Band 127,-96.4140625
Band 136,-87.5546875
Band 146,-81.5703125
Band 156,-86.0859375
Band 167,-84.9453125
Band 179,-86.9375
Band 192,-89.7734375
Band 206,-97.1015625
Band 221,-95.9375
Band 237,-94.5625
Band 254,-87.9921875
Band 272,-89.640625
Band 292,-90.9609375
Band 313,-91.7734375
Band 335,-89.5390625
Band 359,-79.8046875
Band 385,-87.453125
Band 412,-93.6328125
Band 442,-81.9140625
Band 474,-82.5703125
Band 508,-85.3125
Band 544,-87.5
Band 583,-80.7109375
Band 625,-73.3046875
Band 670,-73.453125
Band 718,-63.7265625
Band 769,-65.53125
Band 825,-62.328125
Band 884,-65.3359375
Band 947,-63.2578125
Band 1020,-67.8828125
Band 1090,-66.4140625
Band 1170,-62.6015625
Band 1250,-67.1328125
Band 1340,-65.703125
Band 1440,-61.078125
Band 1540,-62.375
Band 1650,-67.3828125
Band 1770,-74.96875
Band 1890,-71.140625
Band 2030,-67.2109375
Band 2180,-66.984375
Band 2330,-67.765625
Band 2500,-66.359375
Band 2680,-71.953125
Band 2870,-77.5625
Band 3080,-72.3125
Band 3300,-70.671875
Band 3540,-71.9453125
Band 3790,-63.4609375
Band 4060,-62.25
Band 4350,-66.578125
Band 4670,-67.3125
Band 5000,-65.4375
Band 5360,-66.1484375
Band 5740,-71.203125
Band 6160,-69.8203125
Band 6600,-70.8359375
Band 7070,-75.9609375
Band 7580,-74.6640625
Band 8120,-73.21875
Band 8710,-61.2421875
Band 9330,-69.640625
Band 10000,-70.8984375
Band 10720,-73.125
Band 11490,-74.6015625
Band 12310,-85.6640625
Band 13200,-84.859375
Band 14140,-94.3046875
Band 15160,-97.140625
Band 16250,-105.1875
Band 17410,-106.046875
Band 18660,-103.5390625
