Frequency Band,dB Value
2180,-21.546875
2330,-17.1015625
2500,-19.1328125
2680,-17.375
2870,-19.7578125
3080,-21.46875
3300,-15.7265625
3540,-18.5703125
3790,-19.5390625
4060,-18.125
4350,-16.2265625
4670,-17.3515625
5000,-16.9765625
5360,-13.0546875
5740,-19.53125
6160,-16.1875
6600,-17.8515625
7070,-19.2421875
7580,-22.03125
8120,-23.84375
8710,-20.671875
9330,-22.171875
10000,-22.5859375
10720,-24.6328125
11490,-33.3828125
12310,-31.2421875
13200,-40.453125
14140,-45.703125
15160,-51.6796875
16250,-61.578125
17410,-63.484375
18660,-66.7265625
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-90.0
32,-90.0
34,-90.0
36,-90.0
39,-90.0
42,-90.0
45,-90.0
48,-90.0
52,-90.0
55,-90.0
59,-90.0
63,-90.0
68,-90.0
73,-89.3515625
78,-90.0
84,-89.6796875
90,-79.7890625
96,-76.8046875
103,-78.7265625
110,-77.5234375
118,-74.9609375
127,-67.78125
136,-61.7578125
146,-59.4765625
156,-43.015625
167,-42.953125
179,-41.1640625
192,-36.6875
206,-40.1171875
221,-57.4375
237,-64.59375
254,-67.9140625
272,-62.6171875
292,-54.328125
313,-43.171875
335,-36.2734375
359,-32.6640625
385,-22.2109375
412,-26.234375
442,-51.6875
474,-43.1953125
508,-41.6953125
544,-40.8125
583,-40.53125
625,-45.078125
670,-41.1015625
718,-39.9375
769,-39.921875
825,-45.5625
884,-42.1640625
947,-40.515625
1020,-42.125
1090,-43.265625
1170,-33.3046875
1250,-37.34375
1340,-43.8359375
1440,-33.671875
1540,-49.296875
1650,-38.46875
1770,-34.2734375
1890,-40.59375
2030,-34.3046875
2180,-40.578125
2330,-36.1328125
2500,-37.4375
2680,-33.6015625
2870,-38.796875
3080,-40.5078125
3300,-34.765625
3540,-37.6015625
3790,-38.5703125
4060,-37.1640625
4350,-35.265625
4670,-36.3828125
5000,-36.015625
5360,-32.09375
5740,-38.5703125
6160,-35.2265625
6600,-36.8125
7070,-38.203125
7580,-40.9921875
8120,-42.8046875
8710,-39.6328125
9330,-41.1328125
10000,-41.5546875
10720,-43.6015625
11490,-52.3515625
12310,-50.2109375
13200,-59.4296875
14140,-64.671875
15160,-70.6484375
16250,-77.3984375
17410,-77.734375
18660,-76.453125
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-90.0
32,-90.0
34,-90.0
36,-89.4609375
39,-88.1171875
42,-86.921875
45,-85.2421875
48,-82.78125
52,-81.546875
55,-79.7109375
59,-77.6953125
63,-75.9140625
68,-74.234375
73,-71.0234375
78,-76.265625
84,-73.8984375
90,-70.3125
96,-69.9765625
103,-69.296875
110,-60.6875
118,-59.578125
127,-56.5859375
136,-48.6328125
146,-44.2734375
156,-37.453125
167,-24.3046875
179,-22.3046875
192,-21.2578125
206,-20.03125
221,-18.765625
237,-41.7421875
254,-45.78125
272,-51.0625
292,-48.7734375
313,-36.2734375
335,-18.3125
359,-17.796875
385,-19.84375
412,-16.7421875
442,-16.5703125
474,-35.0546875
508,-20.4140625
544,-18.234375
583,-17.140625
625,-13.7734375
670,-15.5390625
718,-24.3125
769,-22.828125
825,-21.96875
884,-22.3671875
947,-17.984375
1020,-26.75
1090,-22.9140625
1170,-23.8984375
1250,-14.8046875
1340,-12.6328125
1440,-15.21875
1540,-17.7734375
1650,-21.609375
1770,-23.9453125
1890,-20.6640625
2030,-24.609375
2180,-21.9296875
2330,-16.3203125
2500,-23.40625
2680,-30.859375
2870,-33.234375
3080,-30.78125
3300,-27.3359375
3540,-24.5
3790,-27.6171875
4060,-28.625
4350,-29.734375
4670,-29.6015625
5000,-27.390625
5360,-29.375
5740,-28.515625
6160,-28.15625
6600,-28.9453125
7070,-28.3515625
7580,-30.5390625
8120,-30.1796875
8710,-34.3046875
9330,-31.59375
10000,-30.59375
10720,-30.8984375
11490,-34.65625
12310,-36.0390625
13200,-45.546875
14140,-49.09375
15160,-53.0625
16250,-58.9765625
17410,-65.671875
18660,-67.3125
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-89.9453125
32,-89.1796875
34,-87.84375
36,-86.46875
39,-84.9453125
42,-83.1171875
45,-82.390625
48,-79.59375
52,-78.8828125
55,-75.953125
59,-74.078125
63,-70.21875
68,-66.2421875
73,-61.515625
78,-58.1015625
84,-54.7890625
90,-52.234375
96,-49.8046875
103,-45.375
110,-41.5859375
118,-38.9765625
127,-36.984375
136,-36.7734375
146,-33.875
156,-25.46875
167,-22.2109375
179,-17.796875
192,-27.1328125
206,-26.5703125
221,-36.2890625
237,-43.34375
254,-43.09375
272,-39.84375
292,-36.1796875
313,-17.3671875
335,-20.15625
359,-12.171875
385,-16.078125
412,-14.9140625
442,-22.375
474,-30.75
508,-24.453125
544,-21.65625
583,-19.890625
625,-11.625
670,-27.5546875
718,-22.8125
769,-15.0
825,-16.640625
884,-33.765625
947,-21.1484375
1020,-15.3203125
1090,-18.640625
1170,-21.625
1250,-32.7578125
1340,-28.625
1440,-26.734375
1540,-16.4296875
1650,-19.875
1770,-18.6953125
1890,-15.2421875
2030,-22.5546875
2180,-21.8046875
2330,-21.515625
2500,-20.3828125
2680,-24.1484375
2870,-31.5
3080,-32.90625
3300,-36.0859375
3540,-29.40625
3790,-34.65625
4060,-30.7421875
4350,-28.4140625
4670,-27.2734375
5000,-25.9921875
5360,-25.671875
5740,-27.546875
6160,-30.2734375
6600,-28.984375
7070,-27.03125
7580,-24.4921875
8120,-24.2578125
8710,-25.90625
9330,-22.7734375
10000,-29.265625
10720,-33.203125
11490,-40.421875
12310,-41.9921875
13200,-46.7578125
