Frequency Band,dB Value
/meters,"b'2\x00\x00\x00\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\xa6\x82V\x80R\x83\xaa\x85F\x86\xfc\x87\xe0\x88\x00\x80\x00\x80\xf2\x86\xb8\x8a\xb4\x8d\xde\x91\xde\x98\xec\x9e\x04\xa4R\xa7\xb6\xa9\x92\xab\xf6\xb8L\xc3\xaa\xbe\xe8\xba<\xbd\xa2\xbc\xb0\xba\x14\xc1\xea\xbfl\xb3\xc6\xb6F\xc7\xd2\xbbf\xbd4\xbf>\xb7\x1a\xb9\x9e\xc0\xd0\xbeP\xbe\xfa\xc3N\xb8\x82\xb7\x0e\xb9^\xbaR\xb5\x86\xb6\\\xb9\x1a\xb9X\xb6\x94\xbcX\xad\xb4\xb6\xc2\xael\xb0T\xab|\xac\xf4\xb2\x1c\xb1X\xb08\xad\x10\xab*\xb7B\xb7\x1e\xb7H\xb76\xb9\x88\xbb\xd4\xb5\x8e\xbcD\xc0|\xba""\xbc,\xbe\xd2\xbb\xf2\xb3\xaa\xb5\x04\xaf\xba\xad\x00\xb1^\xa7x\xaa\xd4\xa4f\xa0\x8e\x9c \x96\x16\x90(\x92'"
Band 1,0.1953125
Band 2,0.0
Band 3,-128.0
Band 4,-128.0
Band 5,-128.0
Band 6,-128.0
Band 7,-128.0
Band 8,-128.0
Band 9,-128.0
Band 10,-128.0
Band 11,-128.0
Band 12,-128.0
Band 13,-128.0
Band 14,-128.0
Band 15,-128.0
Band 16,-126.46875
Band 17,-128.0
Band 18,-125.796875
Band 19,-123.453125
Band 20,-122.84375
Band 21,-121.1328125
Band 22,-120.2421875
Band 23,-128.0
Band 24,-128.0
Band 25,-122.171875
Band 26,-118.390625
Band 27,-115.4140625
Band 28,-111.2421875
Band 29,-104.25
Band 30,-98.1875
Band 31,-93.1015625
Band 32,-89.796875
Band 33,-87.3984375
Band 34,-85.546875
Band 35,-72.1484375
Band 36,-60.953125
Band 37,-65.6875
Band 38,-70.2109375
Band 39,-67.8828125
Band 40,-68.484375
Band 41,-70.4296875
Band 42,-64.0390625
Band 43,-65.203125
Band 44,-77.6953125
Band 45,-74.34375
Band 46,-57.84375
Band 47,-59.8671875
Band 48,-67.71875
Band 49,-65.9140625
Band 50,-73.875
Band 51,-72.015625
Band 52,-64.5
Band 53,-62.1484375
Band 54,-66.8046875
Band 55,-61.140625
Band 56,-72.8125
Band 57,-71.15625
Band 58,-72.0625
Band 59,-70.828125
Band 60,-75.875
Band 61,-74.671875
Band 62,-71.8359375
Band 63,-72.0859375
Band 64,-74.8515625
Band 65,-68.609375
Band 66,-83.8515625
Band 67,-74.4921875
Band 68,-82.4375
Band 69,-80.7734375
Band 70,-85.8671875
Band 71,-84.7109375
Band 72,-78.2421875
Band 73,-80.0859375
Band 74,-80.8515625
Band 75,-83.9765625
Band 76,-86.1328125
Band 77,-74.03125
Band 78,-73.9375
Band 79,-73.5078125
Band 80,-68.40625
Band 81,-65.8046875
Band 82,-69.65625
Band 83,-75.3671875
Band 84,-68.640625
Band 85,-64.9296875
Band 86,-70.7109375
Band 87,-68.984375
Band 88,-66.9453125
Band 89,-69.296875
Band 90,-77.1640625
Band 91,-75.453125
Band 92,-82.09375
Band 93,-83.390625
Band 94,-80.1171875
Band 95,-89.75
Band 96,-86.6484375
Band 97,-92.2890625
Band 98,-96.71875
Band 99,-100.5625
Band 100,-106.9921875
Band 101,-113.03125
Band 102,-110.9609375
/meters,"b'2\x00\x00\x00\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x88\x81\x00\x804\x82\x8c\x84(\x85\xde\x86\xc2\x87\x00\x80\x00\x80\xd4\x85\x9c\x89\x96\x8c\xc2\x90\xc0\x97\xd0\x9d\xe6\xa24\xa6\x9a\xa8t\xaa\xda\xb7\x0c\xc3P\xbe\xca\xb9\x1e\xbc\x84\xbb\x92\xb9\xf6\xbf\xcc\xbeN\xb2\xa8\xb5(\xc6""\xc4H\xbc\x16\xbe \xb6\xfc\xb7\x80\xbf\xda\xc12\xbd\xdc\xc20\xb7\xd8\xb8\xf0\xb7,\xb9 \xb4T\xb5*\xb8\xea\xb7&\xb5d\xbb&\xac\x82\xb5\x90\xad:\xaf""\xaaJ\xab\xc2\xb1\xea\xaf&\xaf\x06\xac\xde\xa9\xf8\xb5\x10\xb6~\xb6\x98\xbb2\xbeX\xba\xa2\xb4\\\xbb\x12\xbfJ\xb9\x04\xbb\x0e\xbd\xb4\xba\xd6\xb2\x8c\xb4\xe8\xad\x9c\xac\xe2\xaf@\xa6Z\xa9\xb6\xa3H\x9fp\x9b\x02\x95\xf8\x8e\n\x91'"
Band 1,0.1953125
Band 2,0.0
Band 3,-128.0
Band 4,-128.0
Band 5,-128.0
Band 6,-128.0
Band 7,-128.0
Band 8,-128.0
Band 9,-128.0
Band 10,-128.0
Band 11,-128.0
Band 12,-128.0
Band 13,-128.0
Band 14,-128.0
Band 15,-128.0
Band 16,-128.0
Band 17,-128.0
Band 18,-127.78125
Band 19,-125.4453125
Band 20,-124.8359375
Band 21,-123.125
Band 22,-122.234375
Band 23,-128.0
Band 24,-128.0
Band 25,-124.15625
Band 26,-120.3828125
Band 27,-117.3984375
Band 28,-113.234375
Band 29,-106.234375
Band 30,-100.1796875
Band 31,-95.09375
Band 32,-91.78125
Band 33,-87.609375
Band 34,-80.859375
Band 35,-74.140625
Band 36,-62.9453125
Band 37,-64.625
Band 38,-72.1953125
Band 39,-69.875
Band 40,-70.4765625
Band 41,-72.421875
Band 42,-66.03125
Band 43,-67.1875
Band 44,-79.6796875
Band 45,-76.328125
Band 46,-59.8359375
Band 47,-61.859375
Band 48,-69.703125
